panel,mode,series,quantity,variant,rmse,mae,bias,shift,shifted_rmse,y_start,y_end
2a,epc,mixed,dadx_mean_salt,numerical,0.47820546760723553,0.3069076237709089,-0.3069076237709089,0.3069076237709089,0.3667263008304001,-0.02949957151700522,-3.538291176607977
2a,epc,mixed,dadx_mean_salt,analytical,0.43479714407891745,0.23523292479302316,0.2150043824356251,-0.2150043824356251,0.3779175466059473,-0.029499284550551178,-0.002510333997203365
2a,epc,mixed,dadx_cat_api,analytical,0.6128768389158679,0.5595570777950445,-0.42439413839474593,0.42439413839474593,0.4421624531500701,-0.05897061085579072,0.08873037525853295
2a,epc,mixed,dadx_cat_api,numerical,1.8660826396969894,1.468218150812007,-1.468218150812007,1.468218150812007,1.1517811770491195,-0.058971184872122766,-6.982831310065052
2a,epc,mixed,fd_aion_dxil_resolvedrho,analytical,12.657000544470918,7.648181164478172,-7.648181164478172,7.648181164478172,10.084889075148942,-0.058837058952433616,-49.68877136347963
2a,orig_il,il,dadx_mean_salt,numerical,0.9482531309287645,0.822073749765613,-0.822073749765613,0.822073749765613,0.4726296121303756,-0.5137187687530209,-3.5405877614191894
2a,orig_il,il,dadx_mean_salt,analytical,0.9482531623421144,0.8220737825294101,-0.8220737825294101,0.8220737825294101,0.4726296181679777,-0.5137211118683385,-3.540587761040662
2a,orig_il,il,fd_aion_dxil_resolvedrho,analytical,3.545304375083138,3.4707564211324655,-3.4707564211324655,3.4707564211324655,0.7232101887773719,-1.0243974428596945,-6.502463418876664
2a,orig_il,il,dadx_cat_api,analytical,3.7648241347295506,3.6527667062246527,-3.6527667062246527,3.6527667062246527,0.9116995970926,-1.0262092343577047,-6.987356600932643
2a,orig_il,il,dadx_cat_api,numerical,3.764824100713301,3.6527666408833284,-3.6527666408833284,3.6527666408833284,0.9116997184169999,-1.026204556619988,-6.987356601761974
2a,orig_water,water,dadx_mean_salt,analytical,0.12702632474717535,0.11366090449604777,-0.11366090449604777,0.11366090449604777,0.05671759839692758,-0.029495964060092347,-0.4110191791674614
2a,orig_water,water,dadx_mean_salt,numerical,0.1270263247236958,0.11366090445148558,-0.11366090445148558,0.11366090445148558,0.0567175984336438,-0.029495835466549797,-0.4110191791500961
2a,orig_water,water,fd_aion_dxil_resolvedrho,analytical,0.416430285751615,0.40977648189951793,-0.40977648189951793,0.40977648189951793,0.07414457345771008,-0.05882442971483779,-0.6974819518746558
2a,orig_water,water,dadx_cat_api,analytical,0.4927717680512965,0.4802433443037938,-0.4802433443037938,0.4802433443037938,0.11040989828954895,-0.05896397457882049,-0.8142106865782438
2a,orig_water,water,dadx_cat_api,numerical,0.4927717680131343,0.4802433442131747,-0.4802433442131747,0.4802433442131747,0.11040989851338748,-0.05896371747515603,-0.8142106865394183
2b,epc,mixed,lnphi_mean_salt_stdil,analytical,1.7389247158937757,1.5802988725193408,1.1711696875478281,-1.1711696875478281,1.2853873853882998,16.375026418997564,2.2226947849631364
2b,epc,mixed,lnphi_ion_stdil,analytical,1.7647104023169173,1.5994769008467449,1.1917858006004813,-1.1917858006004813,1.3014797000078817,16.375054377242876,2.316445828216076
2b,epc,mixed,lnphi_ion_stdcat,analytical,2.290594192125471,2.050117599809956,1.884932981160427,-1.884932981160427,1.301479700007882,17.068201557802823,3.0095930087760214
2b,epc,mixed,lnphi_total,analytical,8.020954851005834,7.675607805789286,-7.675607805789286,7.675607805789286,2.328252892960855,-0.06187580308664345,-10.296385802544616
2b,epc,mixed,lnphi_ion,analytical,7.581863592068103,6.8454881885785275,-6.8454881885785275,6.8454881885785275,3.2594396740482425,-0.05896266922841989,-3.4250978416389737
2b,orig_il,il,lnphi_mean_salt_stdil,analytical,2.5274989746301895,2.2420447987783367,0.3479417466747628,-0.3479417466747628,2.5034351614686514,15.406806763008827,2.2239908978838905
2b,orig_il,il,lnphi_ion_stdil,analytical,2.5568376755335223,2.2707063939923255,0.42432540710575295,-0.42432540710575295,2.52138193217771,15.4080397523878,2.317809819032572
2b,orig_il,il,lnphi_ion_stdcat,analytical,2.7579180249051047,2.4357322975911337,1.1174725876656981,-1.1174725876656981,2.52138193217771,16.101186932947744,3.0109569995925174
2b,orig_il,il,lnphi_total,analytical,9.728432660423016,9.305030199778232,-9.305030199778232,9.305030199778232,2.838805208111382,-1.0290108645783504,-10.296408176076831
2b,orig_il,il,lnphi_ion,analytical,9.200121017168657,7.915185239939536,-7.915185239939536,7.915185239939536,4.689570273275771,-1.0259782037540457,-3.423743647820433
2b,orig_water,water,lnphi_mean_salt_stdil,analytical,1.5488990812482815,1.4319030226572862,0.9355129427749624,-0.9355129427749624,1.2344650249368354,16.37503895817384,5.639536714594364
2b,orig_water,water,lnphi_ion_stdil,analytical,1.5540003633960116,1.4360214359125207,0.9414061628210225,-0.9414061628210225,1.236394583471448,16.3750669117152,5.647364386351042
2b,orig_water,water,lnphi_ion_stdcat,analytical,2.049496571940396,1.8198443584332467,1.6345533433809678,-1.6345533433809678,1.236394583471448,17.06821409227515,6.340511566910988
2b,orig_water,water,lnphi_total,analytical,7.979514174491961,7.5808229796258555,-7.5808229796258555,7.5808229796258555,2.49073672083075,-0.061863267657991765,-4.459161133258392
2b,orig_water,water,lnphi_ion,analytical,8.070522356313955,7.367516537861593,-7.367516537861593,7.367516537861593,3.294393899960849,-0.058950134748817044,-0.07532277145389343
