ion,contr,paper_mu_contr,epcsaft_mu_contr,dadx_contr,,,,,a_contr,z_contr,sum_xj_dadx_contr
Li+,hc,13.46153846,24.76498494,24.76498494,,,,0,11.27955511,24.87535106,36.15490617
Na+,hc,13.46153846,24.39854773,24.39854773,,,,0,11.27955507,24.87535093,36.154906
K+,hc,14.1025641,34.22387625,34.22387625,,,,0,11.27955495,24.87535053,36.15490548
F-,hc,7.051282051,10.75797255,10.75797255,,,,0,11.27955518,24.87535127,36.15490645
Cl-,hc,14.1025641,23.2874655,23.2874655,,,,0,11.27955507,24.87535093,36.154906
Br-,hc,13.46153846,28.8051918,28.8051918,,,,0,11.27955503,24.87535077,36.1549058
I-,hc,14.1025641,41.6049052,41.6049052,,,,-9.9476E-14,11.2795549,24.87535037,36.15490528
Li+,disp,-52.82654494,-46.56082454,-43.67073078,,,,-2.890093764,-21.97006929,-19.72372169,-38.80369722
Na+,disp,-33.72542135,-28.73339675,-25.84330299,,,,-2.890093761,-21.97006926,-19.72372171,-38.8036972
K+,disp,-32.04002809,-27.06179708,-24.17170333,,,,-2.890093752,-21.97006916,-19.72372176,-38.80369717
F-,disp,-21.92766854,-17.63076829,-14.74067452,,,,-2.890093769,-21.97006934,-19.72372166,-38.80369723
Cl-,disp,-36.53441011,-30.0852025,-27.19510874,,,,-2.890093761,-21.97006926,-19.72372171,-38.8036972
Br-,disp,-43.27598315,-37.27598545,-34.3858917,,,,-2.890093758,-21.97006922,-19.72372173,-38.80369719
I-,disp,-56.19733146,-50.41353166,-47.52343791,,,,-2.890093749,-21.97006912,-19.72372179,-38.80369716
Li+,assoc,-7.692307692,-3.281210408,-3.281210408,,,,0,-13.313435,-7.628778689,-20.94221369
Na+,assoc,-7.051282051,-3.215654694,-3.215654694,,,,-2.84217E-14,-13.31343499,-7.628778672,-20.94221366
K+,assoc,-8.974358974,-5.030537016,-5.030537016,,,,0,-13.31343495,-7.62877862,-20.94221357
F-,assoc,-5.769230769,-0.966276692,-0.966276692,,,,0,-13.31343502,-7.628778717,-20.94221374
Cl-,assoc,-7.051282051,-3.018089158,-3.018089158,,,,0,-13.31343499,-7.628778672,-20.94221366
Br-,assoc,-8.333333333,-4.015890158,-4.015890158,,,,-6.03961E-14,-13.31343498,-7.628778653,-20.94221363
I-,assoc,-12.17948718,-6.45538366,-6.45538366,,,,3.90799E-14,-13.31343494,-7.6287786,-20.94221354
Li+,born,-548.603352,-547.8557221,-547.8557221,,,,7.1067E-12,-5.48E-10,0,-5.55E-10
Na+,born,-553.0726257,-552.0667128,-552.0667128,,,,7.16133E-12,-5.52E-10,0,-5.59E-10
K+,born,-466.4804469,-466.4077397,-466.4077397,,,,6.05017E-12,-4.66E-10,0,-4.72E-10
F-,born,-880.1282051,-879.9654154,-879.9654154,,,,1.14148E-11,-8.80E-10,0,-8.91E-10
Cl-,born,-565.3631285,-565.527846,-565.527846,,,,7.33594E-12,-5.66E-10,0,-5.73E-10
Br-,born,-507.8212291,-507.5698517,-507.5698517,,,,6.58412E-12,-5.08E-10,0,-5.14E-10
I-,born,-425.1396648,-425.0094742,-425.0094742,,,,5.51316E-12,-4.25E-10,0,-4.31E-10

