panel,salt,solvent,requested_pair,runtime_pair,k_value,rmse,mae,bias,max_abs,rmse_full,mae_full,bias_full,max_abs_full,delta_k_from_baseline
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.5,0.016709304894146886,0.013497230467001197,0.00570408910895068,0.03421029829550304,0.016709304894146886,0.013497230467001197,0.00570408910895068,0.03421029829550304,-0.5
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.48,0.017451837294385823,0.013582169328961714,0.0037951854363418806,0.04037309977498382,0.017451837294385823,0.013582169328961714,0.0037951854363418806,0.04037309977498382,-0.48
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.46,0.018576494611875397,0.013660462013694419,0.0018660558424469535,0.04657347100229359,0.018576494611875397,0.013660462013694419,0.0018660558424469535,0.04657347100229359,-0.46
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.44,0.020028151317175,0.013732064663262211,-8.331305258514736e-05,0.05281130389605393,0.020028151317175,0.013732064663262211,-8.331305258514736e-05,0.05281130389605393,-0.44
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.42,0.02174991180821283,0.013796933000124377,-0.002052926676303246,0.05908646483639424,0.02174991180821283,0.013796933000124377,-0.002052926676303246,0.05908646483639424,-0.42
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.4,0.023690795629029336,0.014106997887830562,-0.004042782363620454,0.06539879428327,0.023690795629029336,0.014106997887830562,-0.004042782363620454,0.06539879428327,-0.4
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.38,0.025808648129455346,0.014989356311715081,-0.006052869230444669,0.07174810638622475,0.025808648129455346,0.014989356311715081,-0.006052869230444669,0.07174810638622475,-0.38
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.36,0.02807012321928424,0.01587404815738969,-0.008083168056523432,0.07813418870227518,0.02807012321928424,0.01587404815738969,-0.008083168056523432,0.07813418870227518,-0.36
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.33999999999999997,0.03044941758275026,0.0167610186465011,-0.010133651161585887,0.08455680181723524,0.03044941758275026,0.0167610186465011,-0.010133651161585887,0.08455680181723524,-0.33999999999999997
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.32,0.03292672849579767,0.017674656624624516,-0.012204282278019441,0.09101567902182583,0.03292672849579767,0.017674656624624516,-0.012204282278019441,0.09101567902182583,-0.32
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.3,0.03548685554057399,0.018948153990261042,-0.014295016449398486,0.09751052601621113,0.03548685554057399,0.018948153990261042,-0.014295016449398486,0.09751052601621113,-0.3
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.28,0.038118069365170426,0.02090159473734332,-0.016405799906998742,0.10404102061293863,0.038118069365170426,0.02090159473734332,-0.016405799906998742,0.10404102061293863,-0.28
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.26,0.04081124387362857,0.02287176559866426,-0.018536569955146572,0.11060681240868453,0.04081124387362857,0.02287176559866426,-0.018536569955146572,0.11060681240868453,-0.26
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.24,0.04355920701501728,0.02485858480043842,-0.020687254877128892,0.11720752253030176,0.04355920701501728,0.02485858480043842,-0.020687254877128892,0.11720752253030176,-0.24
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.21999999999999997,0.046356260090100854,0.026861961851444204,-0.022857773821114123,0.12384274338553891,0.046356260090100854,0.026861961851444204,-0.022857773821114123,0.12384274338553891,-0.21999999999999997
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.2,0.04919782255809444,0.028907938439225445,-0.025048036706158072,0.13051203839073622,0.04919782255809444,0.028907938439225445,-0.025048036706158072,0.13051203839073622,-0.2
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.18,0.052080168831970836,0.031069834856049795,-0.027257944121248153,0.13721494173708015,0.052080168831970836,0.031069834856049795,-0.027257944121248153,0.13721494173708015,-0.18
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.15999999999999998,0.05500023214108253,0.03325023600623912,-0.029487387232659056,0.14395095817444237,0.05500023214108253,0.03325023600623912,-0.029487387232659056,0.14395095817444237,-0.15999999999999998
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.14,0.05795545733710748,0.03544901963387652,-0.03173624770287435,0.15071956282063548,0.05795545733710748,0.03544901963387652,-0.03173624770287435,0.15071956282063548,-0.14
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.12,0.060943689495459405,0.03766605394797476,-0.03400439760227208,0.15752020096465869,0.060943689495459405,0.03766605394797476,-0.03400439760227208,0.15752020096465869,-0.12
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.09999999999999998,0.06396308892923899,0.03990119755159445,-0.036291699332730465,0.1643522879059176,0.06396308892923899,0.03990119755159445,-0.036291699332730465,0.1643522879059176,-0.09999999999999998
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.08000000000000002,0.0670120657769661,0.04215429936778706,-0.03859800554716407,0.1712152088006883,0.0670120657769661,0.04215429936778706,-0.03859800554716407,0.1712152088006883,-0.08000000000000002
