panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7a,LiBr,ethanol,24.88,18.0,-6.879999999999999,3.77776553673508,1.6916828043691619,-1.690443798415533,12.0707639718425
7a,LiBr,ethanol,24.88,18.25,-6.629999999999999,3.7698668507143624,1.6846673613491807,-1.6834284839685565,12.048564108541655
7a,LiBr,ethanol,24.88,18.5,-6.379999999999999,3.761725714347738,1.6774678156146614,-1.6762290624780596,12.025654640436972
7a,LiBr,ethanol,24.88,18.75,-6.129999999999999,3.753352635122375,1.6700917384809137,-1.668853105460645,12.002064870124409
7a,LiBr,ethanol,24.88,19.0,-5.879999999999999,3.744758486466122,1.6625468769453031,-1.661308360103159,11.977825224415156
7a,LiBr,ethanol,24.88,19.25,-5.629999999999999,3.735954433109521,1.654841110471147,-1.6536027060473615,11.952967035775877
7a,LiBr,ethanol,24.88,19.5,-5.379999999999999,3.72695186081615,1.646982410663586,-1.6457441150665273,11.927522336240855
7a,LiBr,ethanol,24.88,19.75,-5.129999999999999,3.717762310666941,1.6389788038622024,-1.6377406136588868,11.901523664414704
7a,LiBr,ethanol,24.88,20.0,-4.879999999999999,3.7083974180109758,1.6308383366598305,-1.6296002485669945,11.875003885939979
7a,LiBr,ethanol,24.88,20.25,-4.629999999999999,3.698868856136602,1.6225690443090621,-1.6213310551848479,11.847996027662226
7a,LiBr,ethanol,24.88,20.5,-4.379999999999999,3.689188284625713,1.614178921957009,-1.6129410287932813,11.820533125406511
7a,LiBr,ethanol,24.88,20.75,-4.129999999999999,3.679367302312279,1.605675898615253,-1.6044380985303348,11.792648085167873
7a,LiBr,ethanol,24.88,21.0,-3.879999999999999,3.6694174047536134,1.597067813775884,-1.5958301040078242,11.764373557508554
7a,LiBr,ethanol,24.88,21.25,-3.629999999999999,3.65934994603276,1.5883623965502738,-1.5871247744504722,11.735741824602822
7a,LiBr,ethanol,24.88,21.5,-3.379999999999999,3.6491761047345252,1.5795672472065483,-1.5783297102339318,11.706784699524725
7a,LiBr,ethanol,24.88,21.75,-3.129999999999999,3.638906853890688,1.5706898209724593,-1.5694523666878488,11.677533437182468
7a,LiBr,ethanol,24.88,22.0,-2.879999999999999,3.6285529346674683,1.561737413967279,-1.5605000400282747,11.648018656220751
7a,LiBr,ethanol,24.88,22.25,-2.629999999999999,3.6181248336267227,1.5527171511363305,-1.551479855292344,11.618270271450584
7a,LiBr,ethanol,24.88,22.5,-2.379999999999999,3.607632763255575,1.5436359760248282,-1.542398756112586,11.588317435868518
7a,LiBr,ethanol,24.88,22.75,-2.129999999999999,3.597086645608162,1.534500642284595,-1.5332634962237863,11.55818849183138
7a,LiBr,ethanol,24.88,23.0,-1.879999999999999,3.5864960987911516,1.525317706758336,-1.5240806325475704,11.527910930598368
7a,LiBr,ethanol,24.88,23.25,-1.629999999999999,3.575870426103765,1.516093524024599,-1.514856519737605,11.497511359691039
7a,LiBr,ethanol,24.88,23.5,-1.379999999999999,3.5652186075674823,1.5068342422655308,-1.505597306047585,11.46701547727695
7a,LiBr,ethanol,24.88,23.75,-1.129999999999999,3.5545492937053607,1.4975458003653244,-1.4963089304298463,11.43644805316955
7a,LiBr,ethanol,24.88,24.0,-0.879999999999999,3.5438708012862152,1.4882339260815478,-1.486997120706915,11.405832915613768
7a,LiBr,ethanol,24.88,24.25,-0.629999999999999,3.533191110946197,1.4789041352410341,-1.4776673927676045,11.375192943597277
7a,LiBr,ethanol,24.88,24.5,-0.379999999999999,3.5225178663949954,1.4695617317963519,-1.4683250506235914,11.34455006381162
7a,LiBr,ethanol,24.88,24.75,-0.129999999999999,3.5118583751228543,1.4602118086912832,-1.4589751872750845,11.313925252032822
7a,LiBr,ethanol,24.88,25.0,0.120000000000001,3.5012196104075546,1.450859249438155,-1.4496226862883501,11.283338538312387
7a,LiBr,ethanol,24.88,25.25,0.370000000000001,3.4906082144877213,1.4415087303134657,-1.4402722239913615,11.25280901560398
7a,LiBr,ethanol,24.88,25.5,0.620000000000001,3.4800305027306453,1.4321647230961772,-1.430928272212368,11.222354851291398
7a,LiBr,ethanol,24.88,25.75,0.870000000000001,3.4694924687247073,1.42283149829841,-1.4215951015105723,11.191993301441174
7a,LiBr,ethanol,24.88,26.0,1.120000000000001,3.4589997901081477,1.41351312878666,-1.4122767847975075,11.161740727212473
7a,LiBr,ethanol,24.88,26.25,1.370000000000001,3.4485578350982333,1.4042134937839075,-1.4029772013393362,11.131612613300497
