panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7d,NaBr,methanol,33.05,26.0,-7.049999999999997,0.18499362679004958,0.18167024468903092,-0.18167024468903092,0.25404584655762485
7d,NaBr,methanol,33.05,26.25,-6.799999999999997,0.1803538129637996,0.17695418701741128,-0.17695418701741128,0.24897312160683135
7d,NaBr,methanol,33.05,26.5,-6.549999999999997,0.1757313362016007,0.17225588986602738,-0.17225588986602738,0.24388668564848942
7d,NaBr,methanol,33.05,26.75,-6.299999999999997,0.17112704213173763,0.1675761239909627,-0.1675761239909627,0.23878835655025907
7d,NaBr,methanol,33.05,27.0,-6.049999999999997,0.16654174741313435,0.16291561714964697,-0.16291561714964697,0.2336798930329016
7d,NaBr,methanol,33.05,27.25,-5.799999999999997,0.16197624221072326,0.15827505564891242,-0.15827505564891242,0.22856299538371483
7d,NaBr,methanol,33.05,27.5,-5.549999999999997,0.15743129283342908,0.15365508585521115,-0.15365508585521115,0.22343930627689318
7d,NaBr,methanol,33.05,27.75,-5.299999999999997,0.15290764457181646,0.14905631567550723,-0.14905631567550723,0.21831041164678444
7d,NaBr,methanol,33.05,28.0,-5.049999999999997,0.14840602477416284,0.14447931600213088,-0.14447931600213088,0.21317784163186834
7d,NaBr,methanol,33.05,28.25,-4.799999999999997,0.1439271462052577,0.1399246221213445,-0.1399246221213445,0.20804307158489557
7d,NaBr,methanol,33.05,28.5,-4.549999999999997,0.13947171075597833,0.13539273508674715,-0.13539273508674715,0.2029075231026078
7d,NaBr,methanol,33.05,28.75,-4.299999999999997,0.13504041357380728,0.13088412305708685,-0.13088412305708685,0.19777256512730282
7d,NaBr,methanol,33.05,29.0,-4.049999999999997,0.13063394770580422,0.12639922259525024,-0.12639922259525024,0.19263951505484445
7d,NaBr,methanol,33.05,29.25,-3.799999999999997,0.12625300937233613,0.12193843993002429,-0.12193843993002429,0.18750963988167024
7d,NaBr,methanol,33.05,29.5,-3.549999999999997,0.12189830401315073,0.11750215218094962,-0.11750215218094962,0.1823841573611356
7d,NaBr,methanol,33.05,29.75,-3.299999999999997,0.11757055329834451,0.11309070855197259,-0.11309070855197259,0.17726423718779755
7d,NaBr,methanol,33.05,30.0,-3.049999999999997,0.11327050331597191,0.10870443147708062,-0.10870443147708062,0.17215100218374463
7d,NaBr,methanol,33.05,30.25,-2.799999999999997,0.10899893424949511,0.10434361774010524,-0.10434361774010524,0.16704552949112272
7d,NaBr,methanol,33.05,30.5,-2.549999999999997,0.10475667191391455,0.10000853955329282,-0.10000853955329282,0.16194885176784868
7d,NaBr,methanol,33.05,30.75,-2.299999999999997,0.10054460163940143,0.09569944560049998,-0.09569944560049998,0.15686195837075984
7d,NaBr,methanol,33.05,31.0,-2.049999999999997,0.09636368514342612,0.09141656204971672,-0.09141656204971672,0.1517857965707196
7d,NaBr,methanol,33.05,31.25,-1.7999999999999972,0.09221498121901733,0.0871600935257511,-0.0871600935257511,0.14672127270807628
7d,NaBr,methanol,33.05,31.5,-1.5499999999999972,0.0880996713548105,0.08293022405436738,-0.08293022405436738,0.14166925338532538
7d,NaBr,methanol,33.05,31.75,-1.2999999999999972,0.08401909175046525,0.07872711797049663,-0.07872711797049663,0.13663056660907802
7d,NaBr,methanol,33.05,32.0,-1.0499999999999972,0.07997477372483512,0.07455092079559245,-0.07455092079559245,0.13160600295156377
7d,NaBr,methanol,33.05,32.25,-0.7999999999999972,0.07596849521434436,0.07040176008142579,-0.07040176008142579,0.12659631667348376
7d,NaBr,methanol,33.05,32.5,-0.5499999999999972,0.07200234707547024,0.0662797462282996,-0.0662797462282996,0.12160222684362332
7d,NaBr,methanol,33.05,32.75,-0.29999999999999716,0.06807881932561934,0.06218497326768388,-0.06218497326768388,0.11662441843601606
7d,NaBr,methanol,33.05,33.0,-0.04999999999999716,0.06420091452955524,0.05811751962229635,-0.05811751962229635,0.11166354339446005
7d,NaBr,methanol,33.05,33.25,0.20000000000000284,0.0603722984871343,0.05407744882967866,-0.05407744882967866,0.10672022171061762
7d,NaBr,methanol,33.05,33.5,0.45000000000000284,0.056597502720702644,0.05006481024548632,-0.05006481024548632,0.10179504243888432
