figure_id,panel_id,series_id,series_label,source_type,dataset,parameter_set,salt,ion,solvent_system,composition,composition_basis,target_w_org,x_name,x_value,x_units,y_name,y_value,y_units,curve_points,user_options,source_file,category,display_order
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0,mol/kg,miac_m,1,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,0
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.041099999999999998,mol/kg,miac_m,0.70730000000000004,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,1
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.073200000000000001,mol/kg,miac_m,0.67369999999999997,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,2
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.084099999999999994,mol/kg,miac_m,0.66549999999999998,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,3
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.19370000000000001,mol/kg,miac_m,0.61465000000000003,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,4
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.22045999999999999,mol/kg,miac_m,0.35541,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,5
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.26490000000000002,mol/kg,miac_m,0.59524999999999995,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,6
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.30142999999999998,mol/kg,miac_m,0.33834999999999998,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,7
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.50490000000000002,mol/kg,miac_m,0.56054999999999999,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,8
figure_8,a),data_LiBr_methanol,Methanol data,literature,,,LiBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.58477000000000001,mol/kg,miac_m,0.32025999999999999,-,,{},analyses/2025_figiel/data/input/figure_8/methanol/methanol-LiBr.csv,LiBr_methanol,9
