molality,miac_m,mole_fraction,miac
0.001,0.965,1.80149554555e-05,0.96503476949
0.002,0.952,3.60292618455e-05,0.952068602186
0.005,0.927,9.0068286973e-05,0.927167001646
0.01,0.902,0.000180120350814,0.902324995651
0.02,0.871,0.000360175826633,0.871627652355
0.05,0.82,0.000899953354417,0.82147725296
0.1,0.776,0.00179828833322,0.778795971456
0.2,0.731,0.00359012059445,0.736267667872
0.3,0.705,0.00537553148853,0.71262046344
0.4,0.688,0.00715455547196,0.697915610112
0.5,0.676,0.00892722675519,0.68817832928
0.6,0.666,0.0106935793048,0.680397811776
0.7,0.659,0.0124536468455,0.675620897328
0.8,0.654,0.0142074628628,0.672851188992
0.9,0.65,0.0159550606042,0.6710778776
1,0.646,0.0176964730824,0.66927574176
1.2,0.641,0.0211608731345,0.668714706752
1.4,0.639,0.0246009224903,0.671232938976
1.6,0.638,0.0280168769862,0.674779995648
1.8,0.637,0.0314089888872,0.678312640096
2,0.638,0.0347775069492,0.68397499456
2.5,0.643,0.0430971805624,0.7009191252
3,0.65,0.0512746580357,0.720259592
3.5,0.66,0.0593135540086,0.7432305936
4,0.671,0.067217361637,0.76770602304
4.5,0.683,0.0749894576548,0.79373992616
