molality,miac_m,mole_fraction,miac
0.001,0.966,1.80149554555e-05,0.966034805521
0.002,0.953,3.60292618455e-05,0.953068674247
0.005,0.93,9.0068286973e-05,0.930167542104
0.01,0.908,0.000180120350814,0.908327157485
0.02,0.882,0.000360175826633,0.882635579078
0.05,0.843,0.000899953354417,0.844518688104
0.1,0.817,0.00179828833322,0.819943696752
0.2,0.802,0.00359012059445,0.807779301824
0.3,0.803,0.00537553148853,0.811679761904
0.4,0.811,0.00715455547196,0.822688313664
0.5,0.824,0.00892722675519,0.83884459072
0.6,0.838,0.0106935793048,0.856116165568
0.7,0.855,0.0124536468455,0.87656429016
0.8,0.872,0.0142074628628,0.897134918656
0.9,0.892,0.0159550606042,0.920925333568
1,0.912,0.0176964730824,0.94485987072
1.2,0.957,0.0211608731345,0.998377495104
1.4,1.007,0.0246009224903,1.05779588349
1.6,1.063,0.0280168769862,1.12428077645
1.8,1.126,0.0314089888872,1.19902673901
2,1.197,0.0347775069492,1.28325716064
2.5,1.42,0.0430971805624,1.547908488
3,1.722,0.0512746580357,1.90813387296
