molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.928167181798,0.928
0.01,0.904325716262,0.904
0.02,0.874629814189,0.874
0.05,0.828489863656,0.827
0.1,0.791842811184,0.789
0.2,0.758426202336,0.753
0.3,0.74294473848,0.735
0.4,0.736463274624,0.726
0.5,0.73500703216,0.722
0.6,0.736586820256,0.721
0.7,0.740209845024,0.722
0.8,0.7458977248,0.725
0.9,0.752639650416,0.729
1,0.76044643104,0.734
1.2,0.779297793984,0.747
1.4,0.801487844192,0.763
1.6,0.826023787776,0.781
1.8,0.852948861408,0.801
2,0.88230630176,0.823
2.5,0.9668977668,0.887
3,1.06709228784,0.963
3.5,1.18353841496,1.051
4,1.31917294272,1.153
4.5,1.47475251288,1.269
5,1.6545742256,1.402
5.5,1.85955686016,1.552
6,2.09548392928,1.723
7,2.66846786352,2.131
8,3.40354191616,2.642
9,4.32640655568,3.267
10,5.4561857616,4.011
11,6.78759007376,4.861
12,8.28194437504,5.782
