source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.1875,0.287277702,0.2823991160703271,0.046068,2,1.0172755,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.261363636,0.214774282,0.20972392028269896,0.046068,2,1.024080999966496,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.414772727,0.201094391,0.1936923413345949,0.046068,2,1.038215499974872,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.539772727,0.194254446,0.18505137833176544,0.046068,2,1.049732499974872,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.744318182,0.190150479,0.177947131630497,0.046068,2,1.068578500016752,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.011363636,0.176470588,0.16142822199522724,0.046068,2,1.093182999966496,pure
MIAC,data/MIAC/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.193181818,0.186046512,0.167619285816564,0.046068,2,1.109934999983248,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.17923,0.29529718199884003,0.2905,0.046068,2,1.01651353528,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.43412,0.22411958630895998,0.2155,0.046068,2,1.03999808032,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,0.65922,0.206419594156832,0.1946,0.046068,2,1.06073789392,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.17149,0.21416410663031202,0.1933,0.046068,2,1.10793640264,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.36294,0.22759143481564797,0.2022,0.046068,2,1.12557583984,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.41362,0.232039358513296,0.2053,0.046068,2,1.13024529232,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,1.80195,0.28007907654104003,0.2402,0.046068,2,1.1660244652,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,2.35881,0.406345194001808,0.3338,0.046068,2,1.21733131816,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,2.78238,0.57855256597464,0.4605,0.046068,2,1.2563573636799998,pure
MIAC_m,data/MIAC_m/ethanol/ethanol-LiCl.csv,ethanol,LiCl,3.29787,0.9576796982100401,0.7345,0.046068,2,1.30385255032,pure
