source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/ethanol/ethanol-LiI.csv,0.397350993,0.18956044,0.182865667372,0.046068,2,1.03661033109,pure
MIAC,data/MIAC/ethanol/ethanol-LiI.csv,0.606622517,0.20467033,0.193836466372,0.046068,2,1.05589177223,pure
MIAC,data/MIAC/ethanol/ethanol-LiI.csv,1.00397351,0.21978022,0.201171438785,0.046068,2,1.09250210332,pure
MIAC,data/MIAC/ethanol/ethanol-LiI.csv,1.255629139,0.225274725,0.201915405106,0.046068,2,1.11568864635,pure
MIAC,data/MIAC/ethanol/ethanol-LiI.csv,1.504635762,0.233516484,0.2050852816,0.046068,2,1.13863112057,pure
UNIFIED,,0.397350993,0.18956044,0.182865667372,0.046068,2,1.03661033109,unified
UNIFIED,,0.606622517,0.20467033,0.193836466372,0.046068,2,1.05589177223,unified
UNIFIED,,1.00397351,0.21978022,0.201171438785,0.046068,2,1.09250210332,unified
UNIFIED,,1.255629139,0.225274725,0.201915405106,0.046068,2,1.11568864635,unified
UNIFIED,,1.504635762,0.233516484,0.2050852816,0.046068,2,1.13863112057,unified
