source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.000682594,0.805517241,0.8054820087147047,0.03204,2,1.00004374062352,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.003412969,0.728275862,0.7281166206717405,0.03204,2,1.00021870305352,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.007508532,0.696551724,0.6962167415910222,0.03204,2,1.00048114673056,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.010921502,0.635862069,0.6354173722485136,0.03204,2,1.00069984984816,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.019112628,0.604137931,0.6033989258876737,0.03204,2,1.00122473720224,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.035494881,0.536551724,0.5353341001787958,0.03204,2,1.00227451197448,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.049829352,0.492413793,0.4908464883185635,0.03204,2,1.00319306487616,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.059385666,0.471724138,0.46993582846618154,0.03204,2,1.00380543347728,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.066211604,0.466206897,0.4642372129762699,0.03204,2,1.00424283958432,pure
MIAC,data/MIAC/methanol/methanol-KCl.csv,methanol,KCl,0.069624573,0.452413793,0.45040429503344204,0.03204,2,1.00446154263784,pure
