source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.00166113,0.853333333,0.8532425094215624,0.03204,2,1.0001064452104,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.003322259,0.768888889,0.7687252348105414,0.03204,2,1.00021289035672,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.004983389,0.714444444,0.7142163693106597,0.03204,2,1.00031933556712,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.005980066,0.683333333,0.6830715781752568,0.03204,2,1.00038320262928,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.007641196,0.668888889,0.6685615292914892,0.03204,2,1.00048964783968,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.007973422,0.656666667,0.6563313231203635,0.03204,2,1.00051093688176,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.010299003,0.636666667,0.6362467695105815,0.03204,2,1.00065996011224,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.010631229,0.621111111,0.6206882676425722,0.03204,2,1.00068124915432,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.012956811,0.611111111,0.6106041432027268,0.03204,2,1.00083027244888,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.014950166,0.6,0.5994257461566254,0.03204,2,1.00095800663728,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.016943522,0.591111111,0.5904700135620985,0.03204,2,1.00108574088976,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.017940199,0.578888889,0.5782241579100743,0.03204,2,1.00114960795192,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.020265781,0.57,0.569260740215362,0.03204,2,1.00129863124648,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.021594684,0.563333333,0.5625548766775677,0.03204,2,1.00138378735072,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.024916944,0.553333333,0.5524512463750644,0.03204,2,1.00159667777152,pure
MIAC,data/MIAC/methanol/methanol-NaCl.csv,methanol,NaCl,0.028239203,0.542222222,0.541242806268138,0.03204,2,1.00180956812824,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.05,0.5814570384,0.5796,0.03204,2,1.003204,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.06,0.5631569328,0.561,0.03204,2,1.0038448,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.07,0.54764554912,0.5452,0.03204,2,1.0044856,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.08,0.5344257068799999,0.5317,0.03204,2,1.0051264,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.09,0.52279779056,0.5198,0.03204,2,1.0057672,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.1,0.5125635944,0.5093,0.03204,2,1.006408,pure
MIAC_m,data/MIAC_m/methanol/methanol-NaCl.csv,methanol,NaCl,0.2,0.45283003359999996,0.4471,0.03204,2,1.012816,pure
