source,origin_file,x_H2O,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.008002,0.693479817052,0.693,0.043262728,2,1.0006923767,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.01749,0.585084087518,0.5842,0.043262728,2,1.00151333023,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.03385,0.506077916222,0.5046,0.043262728,2,1.00292888669,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.04887,0.463652298004,0.4617,0.043262728,2,1.00422849903,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.08159,0.408664790531,0.4058,0.043262728,2,1.00705961196,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1149,0.374082433421,0.3704,0.043262728,2,1.00994177489,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1495,0.349564060262,0.3451,0.043262728,2,1.01293555567,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1883,0.331108175788,0.3258,0.043262728,2,1.01629274336,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2227,0.320560169392,0.3145,0.043262728,2,1.01926921905,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2399,0.322151053396,0.3156,0.043262728,2,1.02075745689,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2797,0.310947475225,0.3036,0.043262728,2,1.02420117004,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3197,0.303263111762,0.2951,0.043262728,2,1.02766218828,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3592,0.296126159858,0.2872,0.043262728,2,1.0310799438,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3983,0.290787574353,0.2811,0.043262728,2,1.03446308912,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.4501,0.285398221098,0.2747,0.043262728,2,1.03894510775,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.5005,0.2812752951,0.2696,0.043262728,2,1.04330599073,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.5529,0.277572796032,0.2649,0.043262728,2,1.04783992462,composition-columns
MIAC,data/MIAC/water-ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.6646,0.272836243059,0.258,0.043262728,2,1.05750481806,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.008002,0.693479817052,0.693,0.043262728,2,1.0006923767,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.01749,0.585084087518,0.5842,0.043262728,2,1.00151333023,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.03385,0.506077916222,0.5046,0.043262728,2,1.00292888669,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.04887,0.463652298004,0.4617,0.043262728,2,1.00422849903,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.08159,0.408664790531,0.4058,0.043262728,2,1.00705961196,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1149,0.374082433421,0.3704,0.043262728,2,1.00994177489,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1495,0.349564060262,0.3451,0.043262728,2,1.01293555567,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.1883,0.331108175788,0.3258,0.043262728,2,1.01629274336,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2227,0.320560169392,0.3145,0.043262728,2,1.01926921905,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2399,0.322151053396,0.3156,0.043262728,2,1.02075745689,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.2797,0.310947475225,0.3036,0.043262728,2,1.02420117004,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3197,0.303263111762,0.2951,0.043262728,2,1.02766218828,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3592,0.296126159858,0.2872,0.043262728,2,1.0310799438,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.3983,0.290787574353,0.2811,0.043262728,2,1.03446308912,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.4501,0.285398221098,0.2747,0.043262728,2,1.03894510775,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.5005,0.2812752951,0.2696,0.043262728,2,1.04330599073,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.5529,0.277572796032,0.2649,0.043262728,2,1.04783992462,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0.1,0.9,0.6646,0.272836243059,0.258,0.043262728,2,1.05750481806,composition-columns
UNIFIED,,0.1,0.9,0.008002,0.693479817052,0.693,0.043262728,2,1.0006923767,unified
UNIFIED,,0.1,0.9,0.01749,0.585084087518,0.5842,0.043262728,2,1.00151333023,unified
UNIFIED,,0.1,0.9,0.03385,0.506077916222,0.5046,0.043262728,2,1.00292888669,unified
UNIFIED,,0.1,0.9,0.04887,0.463652298004,0.4617,0.043262728,2,1.00422849903,unified
UNIFIED,,0.1,0.9,0.08159,0.408664790531,0.4058,0.043262728,2,1.00705961196,unified
UNIFIED,,0.1,0.9,0.1149,0.374082433421,0.3704,0.043262728,2,1.00994177489,unified
UNIFIED,,0.1,0.9,0.1495,0.349564060262,0.3451,0.043262728,2,1.01293555567,unified
UNIFIED,,0.1,0.9,0.1883,0.331108175788,0.3258,0.043262728,2,1.01629274336,unified
UNIFIED,,0.1,0.9,0.2227,0.320560169392,0.3145,0.043262728,2,1.01926921905,unified
UNIFIED,,0.1,0.9,0.2399,0.322151053396,0.3156,0.043262728,2,1.02075745689,unified
UNIFIED,,0.1,0.9,0.2797,0.310947475225,0.3036,0.043262728,2,1.02420117004,unified
UNIFIED,,0.1,0.9,0.3197,0.303263111762,0.2951,0.043262728,2,1.02766218828,unified
UNIFIED,,0.1,0.9,0.3592,0.296126159858,0.2872,0.043262728,2,1.0310799438,unified
UNIFIED,,0.1,0.9,0.3983,0.290787574353,0.2811,0.043262728,2,1.03446308912,unified
UNIFIED,,0.1,0.9,0.4501,0.285398221098,0.2747,0.043262728,2,1.03894510775,unified
UNIFIED,,0.1,0.9,0.5005,0.2812752951,0.2696,0.043262728,2,1.04330599073,unified
UNIFIED,,0.1,0.9,0.5529,0.277572796032,0.2649,0.043262728,2,1.04783992462,unified
UNIFIED,,0.1,0.9,0.6646,0.272836243059,0.258,0.043262728,2,1.05750481806,unified
