source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.05,0.7082,0.706234297964,0.027833568,2,1.0027833568,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.07,0.6752,0.672579161106,0.027833568,2,1.00389669952,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.09,0.6497,0.646461202071,0.027833568,2,1.00501004224,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.1,0.6388,0.635263669094,0.027833568,2,1.0055667136,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.2,0.5653,0.559075572811,0.027833568,2,1.0111334272,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.3,0.522,0.513425718215,0.027833568,2,1.0167001408,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.4,0.4917,0.480989868627,0.027833568,2,1.0222668544,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.5,0.4688,0.456104971267,0.027833568,2,1.027833568,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.6,0.4507,0.436133033854,0.027833568,2,1.0334002816,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.7,0.4358,0.419455095314,0.027833568,2,1.0389669952,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.8,0.4233,0.405252598776,0.027833568,2,1.0445337088,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,0.9,0.4127,0.393010031418,0.027833568,2,1.0501004224,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.1,0.3,1,0.4035,0.382222753972,0.027833568,2,1.055667136,composition-columns
UNIFIED,,0.6,0.1,0.3,0.05,0.7082,0.706234297964,0.027833568,2,1.0027833568,unified
UNIFIED,,0.6,0.1,0.3,0.07,0.6752,0.672579161106,0.027833568,2,1.00389669952,unified
UNIFIED,,0.6,0.1,0.3,0.09,0.6497,0.646461202071,0.027833568,2,1.00501004224,unified
UNIFIED,,0.6,0.1,0.3,0.1,0.6388,0.635263669094,0.027833568,2,1.0055667136,unified
UNIFIED,,0.6,0.1,0.3,0.2,0.5653,0.559075572811,0.027833568,2,1.0111334272,unified
UNIFIED,,0.6,0.1,0.3,0.3,0.522,0.513425718215,0.027833568,2,1.0167001408,unified
UNIFIED,,0.6,0.1,0.3,0.4,0.4917,0.480989868627,0.027833568,2,1.0222668544,unified
UNIFIED,,0.6,0.1,0.3,0.5,0.4688,0.456104971267,0.027833568,2,1.027833568,unified
UNIFIED,,0.6,0.1,0.3,0.6,0.4507,0.436133033854,0.027833568,2,1.0334002816,unified
UNIFIED,,0.6,0.1,0.3,0.7,0.4358,0.419455095314,0.027833568,2,1.0389669952,unified
UNIFIED,,0.6,0.1,0.3,0.8,0.4233,0.405252598776,0.027833568,2,1.0445337088,unified
UNIFIED,,0.6,0.1,0.3,0.9,0.4127,0.393010031418,0.027833568,2,1.0501004224,unified
UNIFIED,,0.6,0.1,0.3,1,0.4035,0.382222753972,0.027833568,2,1.055667136,unified
