source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water/water-KCl.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC,data/MIAC/water/water-KCl.csv,0.002,0.951068530125,0.951,0.01801528,2,1.00007206112,pure
MIAC,data/MIAC/water/water-KCl.csv,0.005,0.927167001646,0.927,0.01801528,2,1.0001801528,pure
MIAC,data/MIAC/water/water-KCl.csv,0.01,0.901324635346,0.901,0.01801528,2,1.0003603056,pure
MIAC,data/MIAC/water/water-KCl.csv,0.02,0.869626211133,0.869,0.01801528,2,1.0007206112,pure
MIAC,data/MIAC/water/water-KCl.csv,0.05,0.817470046848,0.816,0.01801528,2,1.001801528,pure
MIAC,data/MIAC/water/water-KCl.csv,0.1,0.770767147008,0.768,0.01801528,2,1.003603056,pure
MIAC,data/MIAC/water/water-KCl.csv,0.2,0.722166782304,0.717,0.01801528,2,1.007206112,pure
MIAC,data/MIAC/water/water-KCl.csv,0.3,0.694425898416,0.687,0.01801528,2,1.010809168,pure
MIAC,data/MIAC/water/water-KCl.csv,0.4,0.67458412896,0.665,0.01801528,2,1.014412224,pure
MIAC,data/MIAC/water/water-KCl.csv,0.5,0.66069191672,0.649,0.01801528,2,1.01801528,pure
MIAC,data/MIAC/water/water-KCl.csv,0.6,0.649749261696,0.636,0.01801528,2,1.021618336,pure
MIAC,data/MIAC/water/water-KCl.csv,0.7,0.641788591392,0.626,0.01801528,2,1.025221392,pure
MIAC,data/MIAC/water/water-KCl.csv,0.8,0.634784684416,0.617,0.01801528,2,1.028824448,pure
MIAC,data/MIAC/water/water-KCl.csv,0.9,0.62978077744,0.61,0.01801528,2,1.032427504,pure
MIAC,data/MIAC/water/water-KCl.csv,1,0.62576245824,0.604,0.01801528,2,1.03603056,pure
MIAC,data/MIAC/water/water-KCl.csv,1.2,0.619682583168,0.594,0.01801528,2,1.043236672,pure
MIAC,data/MIAC/water/water-KCl.csv,1.4,0.615559471424,0.586,0.01801528,2,1.050442784,pure
MIAC,data/MIAC/water/water-KCl.csv,1.6,0.61343635968,0.58,0.01801528,2,1.057648896,pure
MIAC,data/MIAC/water/water-KCl.csv,1.8,0.613356484608,0.576,0.01801528,2,1.064855008,pure
MIAC,data/MIAC/water/water-KCl.csv,2,0.61429102176,0.573,0.01801528,2,1.07206112,pure
MIAC,data/MIAC/water/water-KCl.csv,2.5,0.6191633952,0.568,0.01801528,2,1.0900764,pure
MIAC,data/MIAC/water/water-KCl.csv,3,0.62939607424,0.568,0.01801528,2,1.10809168,pure
MIAC,data/MIAC/water/water-KCl.csv,3.5,0.64300707416,0.571,0.01801528,2,1.12610696,pure
MIAC,data/MIAC/water/water-KCl.csv,4,0.65901441024,0.576,0.01801528,2,1.14412224,pure
MIAC,data/MIAC/water/water-KCl.csv,4.5,0.67868831168,0.584,0.01801528,2,1.16213752,pure
MIAC,data/MIAC/water/water-KCl.csv,4.803,0.690929265232,0.589,0.01801528,2,1.17305477968,pure
MIAC,data/MIAC/water/water-KCl.csv,5,0.6998306104,0.593,0.01801528,2,1.1801528,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.002,0.951068530125,0.951,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.005,0.927167001646,0.927,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.01,0.901324635346,0.901,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.02,0.869626211133,0.869,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.05,0.817470046848,0.816,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.1,0.770767147008,0.768,0.01801528,2,1.003603056,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.2,0.722166782304,0.717,0.01801528,2,1.007206112,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.3,0.694425898416,0.687,0.01801528,2,1.010809168,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.4,0.67458412896,0.665,0.01801528,2,1.014412224,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.5,0.66069191672,0.649,0.01801528,2,1.01801528,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.6,0.649749261696,0.636,0.01801528,2,1.021618336,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.7,0.641788591392,0.626,0.01801528,2,1.025221392,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.8,0.634784684416,0.617,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/KCl.csv,0.9,0.62978077744,0.61,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/KCl.csv,1,0.62576245824,0.604,0.01801528,2,1.03603056,pure
