source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.001,0.9650347694904,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.002,0.95206860218624,0.952,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.005,0.9271670016456001,0.927,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.01,0.9023249956512002,0.902,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.02,0.8716276523552,0.871,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.05,0.8214772529600001,0.82,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.1,0.778795971456,0.776,0.01801528,2,1.003603056,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.2,0.7362676678719999,0.731,0.01801528,2,1.007206112,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.3,0.71262046344,0.705,0.01801528,2,1.010809168,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.4,0.6979156101119999,0.688,0.01801528,2,1.014412224,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.5,0.68817832928,0.676,0.01801528,2,1.01801528,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.6,0.680397811776,0.666,0.01801528,2,1.021618336,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.7,0.675620897328,0.659,0.01801528,2,1.025221392,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.8,0.672851188992,0.654,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,0.9,0.6710778776,0.65,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,1.0,0.6692757417599999,0.646,0.01801528,2,1.03603056,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,1.2,0.668714706752,0.641,0.01801528,2,1.043236672,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,1.4,0.671232938976,0.639,0.01801528,2,1.050442784,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,1.6,0.674779995648,0.638,0.01801528,2,1.057648896,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,1.8,0.6783126400960001,0.637,0.01801528,2,1.064855008,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,2.0,0.6839749945600001,0.638,0.01801528,2,1.07206112,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,2.5,0.7009191252000001,0.643,0.01801528,2,1.0900764,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,3.0,0.720259592,0.65,0.01801528,2,1.10809168,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,3.5,0.7432305936,0.66,0.01801528,2,1.12610696,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,4.0,0.76770602304,0.671,0.01801528,2,1.14412224,pure
MIAC_m,data/MIAC_m/water/KI.csv,water,KI,4.5,0.79373992616,0.683,0.01801528,2,1.16213752,pure
