source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.001,0.9650347694904,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.002,0.95206860218624,0.952,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.005,0.9291673619512001,0.929,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.01,0.9053260765680001,0.905,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.02,0.8776319760224,0.877,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.05,0.8334988712960001,0.832,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.1,0.799871635632,0.797,0.01801528,2,1.003603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.2,0.772527087904,0.767,0.01801528,2,1.007206112,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.3,0.76316092184,0.755,0.01801528,2,1.010809168,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.4,0.762837992448,0.752,0.01801528,2,1.014412224,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.5,0.76758352112,0.754,0.01801528,2,1.01801528,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.6,0.7754083170239999,0.759,0.01801528,2,1.021618336,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.7,0.786344807664,0.767,0.01801528,2,1.025221392,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.8,0.800425420544,0.778,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,0.9,0.814585300656,0.789,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,1.0,0.83193253968,0.803,0.01801528,2,1.03603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,water,LiBr,1.2,0.8700593844479999,0.834,0.01801528,2,1.043236672,pure
