source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.001,0.9650347694904,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.002,0.95206860218624,0.952,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.005,0.9281671817984001,0.928,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.01,0.9043257162624001,0.904,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.02,0.8746298141888,0.874,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.05,0.8284898636560001,0.827,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.1,0.791842811184,0.789,0.01801528,2,1.003603056,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.2,0.761447820672,0.756,0.01801528,2,1.007206112,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.3,0.751031211824,0.743,0.01801528,2,1.010809168,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.4,0.7496506335359999,0.739,0.01801528,2,1.014412224,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.5,0.75231329192,0.739,0.01801528,2,1.01801528,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.6,0.7580408053119999,0.742,0.01801528,2,1.021618336,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.7,0.766865601216,0.748,0.01801528,2,1.025221392,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.8,0.777791282688,0.756,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,0.9,0.78980704056,0.765,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,1.0,0.802923684,0.775,0.01801528,2,1.03603056,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,1.2,0.832502864256,0.798,0.01801528,2,1.043236672,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,1.4,0.8666152967999998,0.825,0.01801528,2,1.050442784,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,1.6,0.9042898060799999,0.855,0.01801528,2,1.057648896,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,1.8,0.9455912471040001,0.888,0.01801528,2,1.064855008,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,2.0,0.9905844748800001,0.924,0.01801528,2,1.07206112,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,2.5,1.1216886155999999,1.029,0.01801528,2,1.0900764,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,3.0,1.2820620737600001,1.157,0.01801528,2,1.10809168,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,3.5,1.47745233152,1.312,0.01801528,2,1.12610696,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,4.0,1.7150392377600001,1.499,0.01801528,2,1.14412224,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,4.5,2.00584935952,1.726,0.01801528,2,1.16213752,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,5.0,2.3603056000000002,2.0,0.01801528,2,1.1801528000000001,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,5.5,2.7917316264000003,2.33,0.01801528,2,1.19816808,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,6.0,3.3201805728,2.73,0.01801528,2,1.21618336,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,7.0,4.7083243392,3.76,0.01801528,2,1.25221392,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,8.0,6.6859888512,5.19,0.01801528,2,1.28824448,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,9.0,9.415595534400001,7.11,0.01801528,2,1.32427504,pure
MIAC_m,data/MIAC_m/water/LiCl.csv,water,LiCl,10.0,13.05893376,9.6,0.01801528,2,1.3603056,pure
