source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water/water-NaBr.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.005,0.928167181798,0.928,0.01801528,2,1.0001801528,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.01,0.903325355957,0.903,0.01801528,2,1.0003603056,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.02,0.873629093578,0.873,0.01801528,2,1.0007206112,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.05,0.825484459072,0.824,0.01801528,2,1.001801528,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.1,0.785821192848,0.783,0.01801528,2,1.003603056,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.6,0.706959888512,0.692,0.01801528,2,1.021618336,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.7,0.705352317696,0.688,0.01801528,2,1.025221392,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.8,0.706802395776,0.687,0.01801528,2,1.028824448,pure
MIAC,data/MIAC/water/water-NaBr.csv,0.9,0.708245267744,0.686,0.01801528,2,1.032427504,pure
MIAC,data/MIAC/water/water-NaBr.csv,1,0.71175299472,0.687,0.01801528,2,1.03603056,pure
MIAC,data/MIAC/water/water-NaBr.csv,1.2,0.720876540352,0.691,0.01801528,2,1.043236672,pure
MIAC,data/MIAC/water/water-NaBr.csv,1.4,0.732158620448,0.697,0.01801528,2,1.050442784,pure
MIAC,data/MIAC/water/water-NaBr.csv,3,0.90420281088,0.816,0.01801528,2,1.10809168,pure
MIAC,data/MIAC/water/water-NaBr.csv,3.5,0.98083916216,0.871,0.01801528,2,1.12610696,pure
MIAC,data/MIAC/water/water-NaBr.csv,4,1.06861017216,0.934,0.01801528,2,1.14412224,pure
MIAC,data/MIAC/water/water-NaBr.csv,4.5,1.1679482076,1.005,0.01801528,2,1.16213752,pure
MIAC,data/MIAC/water/water-NaBr.csv,5,1.2781054824,1.083,0.01801528,2,1.1801528,pure
MIAC,data/MIAC/water/water-NaBr.csv,5.5,1.40065848552,1.169,0.01801528,2,1.19816808,pure
MIAC,data/MIAC/water/water-NaBr.csv,6,1.53360721696,1.261,0.01801528,2,1.21618336,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.005,0.928167181798,0.928,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.01,0.903325355957,0.903,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.02,0.873629093578,0.873,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.05,0.825484459072,0.824,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/NaBr.csv,0.1,0.785821192848,0.783,0.01801528,2,1.003603056,pure
