source,file,solvent_system,salt,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.05,0.8152,0.8137340353507626,0.01801528,2,1.001801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.1,0.7732,0.7704241187563702,0.01801528,2,1.003603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.2,0.7313,0.7260678735833564,0.01801528,2,1.007206112,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.3,0.7085,0.7009235990625681,0.01801528,2,1.010809168,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.4,0.6938,0.6839428622658238,0.01801528,2,1.014412224,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.5,0.6835,0.6714044606481742,0.01801528,2,1.01801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.6,0.676,0.6616952497610615,0.01801528,2,1.021618336,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.7,0.6704,0.653907541562496,0.01801528,2,1.025221392,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.8,0.6663,0.6476323548641022,0.01801528,2,1.028824448,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,0.9,0.6632,0.6423695585699933,0.01801528,2,1.032427504,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.0,0.6611,0.6381085901558734,0.01801528,2,1.03603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.1,0.6597,0.6345504703264616,0.01801528,2,1.039633616,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.2,0.6589,0.6315920612115906,0.01801528,2,1.043236672,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.3,0.6587,0.6292271704843055,0.01801528,2,1.046839728,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.4,0.6589,0.62725929487655,0.01801528,2,1.050442784,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.5,0.6596,0.6257792355596223,0.01801528,2,1.05404584,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.6,0.6606,0.6245929083823296,0.01801528,2,1.057648896,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.7,0.662,0.6237915499259312,0.01801528,2,1.061251952,pure
MIAC,data/MIAC/water/water-NaCl.csv,water,NaCl,1.8,0.6637,0.6232773429375653,0.01801528,2,1.064855008,pure
