m,phi,gamma
0.001,0.989,0.965
0.002,0.984,0.952
0.005,0.977,0.928
0.01,0.969,0.904
0.02,0.96,0.874
0.05,0.947,0.827
0.1,0.939,0.789
0.2,0.936,0.753
0.3,0.938,0.735
0.4,943.0,0.726
0.5,0.95,0.722
0.6,0.957,0.721
0.7,0.964,0.722
0.8,0.972,0.725
0.9,0.981,0.729
1.0,0.989,0.734
1.2,1.007,0.747
1.4,1.025,0.763
1.6,1.044,0.781
1.8,1.063,0.801
2.0,1.083,0.823
2.5,1.134,0.887
3.0,1.187,0.963
3.5,1.242,1.051
4.0,1.298,1.153
4.5,1.356,1.269
5.0,1.415,1.402
5.5,1.474,1.552
6.0,1.535,1.723
7.0,1.656,2.131
8.0,1.775,2.642
9.0,1.89,3.267
10.0,1.996,4.011
11.0,2.088,4.861
12.0,2.164,5.782
