m,phi,gamma,miac
0.001,0.989,0.965,0.96503476949
0.002,0.984,0.952,0.952068602186
0.005,0.977,0.929,0.929167361951
0.01,0.97,0.905,0.905326076568
0.02,0.961,0.877,0.877631976022
0.05,0.95,0.832,0.833498871296
0.1,0.944,0.797,0.799871635632
0.2,0.944,0.767,0.772527087904
0.3,0.951,0.755,0.76316092184
0.4,0.96,0.752,0.762837992448
0.5,0.97,0.754,0.76758352112
0.6,0.982,0.759,0.775408317024
0.7,0.994,0.767,0.786344807664
0.8,1.007,0.778,0.800425420544
0.9,1.021,0.789,0.814585300656
1.0,1.035,0.803,0.83193253968
1.2,1.064,0.834,0.870059384448
1.4,1.095,0.871,0.914935664864
1.6,1.127,0.913,0.965633442048
1.8,1.16,0.96,1.02226080768
2.0,1.195,1.012,1.08492585344
2.5,1.284,1.166,1.2710290824
3.0,1.377,1.359,1.50589659312
3.5,1.473,1.598,1.79951892208
4.0,1.572,1.891,2.16353515584
4.5,1.674,2.252,2.61713369504
5.0,1.777,2.696,3.1816919488
5.5,1.883,3.242,3.88446091536
6.0,1.99,3.915,4.7613578544
7.0,2.21,5.778,7.23529202976
8.0,2.437,8.651,11.1446029965
9.0,2.67,13.1,17.348003024
10.0,2.905,20.01,27.219715056
11.0,3.138,30.63,42.7697765808
12.0,3.364,46.66,66.8342311552
13.0,3.574,70.16,103.022753165
14.0,3.761,103.1,155.106510304
15.0,3.92,147.0,226.4473848
16.0,4.04,201.0,316.87428096
17.0,4.13,264.0,425.70515328
18.0,4.18,332.0,547.31862656
19.0,4.2,404.0,680.57057856
20.0,4.22,486.0,836.2170432
