m,phi,gamma,miac
0.001,0.989,0.966,0.966034805521
0.002,0.985,0.953,0.953068674247
0.005,0.978,0.93,0.930167542104
0.01,0.971,0.908,0.908327157485
0.02,0.964,0.882,0.882635579078
0.05,0.956,0.843,0.844518688104
0.1,0.956,0.817,0.819943696752
0.2,0.965,0.802,0.807779301824
0.3,0.978,0.803,0.811679761904
0.4,0.993,0.811,0.822688313664
0.5,1.008,0.824,0.83884459072
0.6,1.023,0.838,0.856116165568
0.7,1.037,0.855,0.87656429016
0.8,1.052,0.872,0.897134918656
0.9,1.067,0.892,0.920925333568
1.0,1.082,0.912,0.94485987072
1.2,1.112,0.957,0.998377495104
1.4,1.143,1.007,1.05779588349
1.6,1.176,1.063,1.12428077645
1.8,1.211,1.126,1.19902673901
2.0,1.249,1.197,1.28325716064
2.5,1.353,1.42,1.547908488
3.0,1.471,1.722,1.90813387296
