m,phi,gamma,miac
0.001,0.988,0.965,0.96503476949
0.002,0.984,0.952,0.952068602186
0.005,0.976,0.928,0.928167181798
0.01,0.969,0.903,0.903325355957
0.02,0.959,0.873,0.873629093578
0.05,0.945,0.824,0.825484459072
0.1,0.935,0.783,0.785821192848
0.6,0.936,0.692,0.706959888512
0.7,0.941,0.688,0.705352317696
0.8,0.946,0.687,0.706802395776
0.9,0.951,0.686,0.708245267744
1.0,0.957,0.687,0.71175299472
1.2,0.969,0.691,0.720876540352
1.4,0.983,0.697,0.732158620448
3.0,1.112,0.816,0.90420281088
3.5,1.157,0.871,0.98083916216
4.0,1.203,0.934,1.06861017216
4.5,1.249,1.005,1.1679482076
5.0,1.296,1.083,1.2781054824
5.5,1.341,1.169,1.40065848552
6.0,1.386,1.261,1.53360721696
