m,phi,gamma,miac
0.001,0.989,0.965,0.96503476949
0.002,0.984,0.952,0.952068602186
0.005,0.977,0.928,0.928167181798
0.01,0.969,0.904,0.904325716262
0.02,0.96,0.874,0.874629814189
0.05,0.947,0.827,0.828489863656
0.1,0.939,0.789,0.791842811184
0.2,0.936,0.753,0.758426202336
0.3,0.938,0.735,0.74294473848
0.4,943.0,0.726,0.736463274624
0.5,0.95,0.722,0.73500703216
0.6,0.957,0.721,0.736586820256
0.7,0.964,0.722,0.740209845024
0.8,0.972,0.725,0.7458977248
0.9,0.981,0.729,0.752639650416
1.0,0.989,0.734,0.76044643104
1.2,1.007,0.747,0.779297793984
1.4,1.025,0.763,0.801487844192
1.6,1.044,0.781,0.826023787776
1.8,1.063,0.801,0.852948861408
2.0,1.083,0.823,0.88230630176
2.5,1.134,0.887,0.9668977668
3.0,1.187,0.963,1.06709228784
3.5,1.242,1.051,1.18353841496
4.0,1.298,1.153,1.31917294272
4.5,1.356,1.269,1.47475251288
5.0,1.415,1.402,1.6545742256
5.5,1.474,1.552,1.85955686016
6.0,1.535,1.723,2.09548392928
7.0,1.656,2.131,2.66846786352
8.0,1.775,2.642,3.40354191616
9.0,1.89,3.267,4.32640655568
10.0,1.996,4.011,5.4561857616
11.0,2.088,4.861,6.78759007376
12.0,2.164,5.782,8.28194437504
