entry_type,name,parameter,set_key,value
component,Br-,d_born,2025,4.48
component,Br-,e,2025,190.0
component,Br-,s,2025,3.0707
component,Cl-,d_born,2025,4.1
component,Cl-,e,2025,170.0
component,Cl-,s,2025,2.756
component,Ethanol,f_solv,2025,1.6
component,H2O,e,salt_2025,353.95
component,H2O,e_assoc,salt_2025,2425.7
component,H2O,f_solv,2025,1.5
component,H2O,m,salt_2025,1.2047
component,H2O,s,salt_2025,"{""type"": ""water_sigma_2008""}"
component,H2O,vol_a,salt_2025,0.04509
component,I-,d_born,2025,4.985
component,I-,e,2025,200.0
component,I-,s,2025,3.6672
component,K+,d_born,2025,4.15
component,K+,e,2025,200.0
component,K+,s,2025,3.3417
component,Li+,d_born,2025,2.784
component,Li+,e,2025,360.0
component,Li+,s,2025,2.8449
component,Methanol,f_solv,2025,1.4
component,Na+,d_born,2025,3.445
component,Na+,e,2025,230.0
component,Na+,s,2025,2.8232
kij_pair,Br-|Ethanol,k_ij,2025,0.0
kij_pair,Br-|H2O,k_ij,2025,-0.3
kij_pair,Br-|Methanol,k_ij,2025,0.15
kij_pair,Cl-|Ethanol,k_ij,2025,0.8
kij_pair,Cl-|H2O,k_ij,2025,-0.3
kij_pair,Cl-|Methanol,k_ij,2025,0.5
kij_pair,H+|Br-,k_ij,2025,-0.7
kij_pair,H+|Cl-,k_ij,2025,-0.9
kij_pair,H+|Ethanol,k_ij,2025,-0.6
kij_pair,H+|Methanol,k_ij,2025,-0.3
kij_pair,H2O|Ethanol,k_ij,2025,-0.0617
kij_pair,H2O|Methanol,k_ij,2025,-0.0878
kij_pair,I-|Ethanol,k_ij,2025,0.18
kij_pair,I-|H2O,k_ij,2025,-0.05
kij_pair,I-|Methanol,k_ij,2025,0.37
kij_pair,K+|Br-,k_ij,2025,-0.35
kij_pair,K+|Cl-,k_ij,2025,0.0
kij_pair,K+|Ethanol,k_ij,2025,0.53
kij_pair,K+|H2O,k_ij,2025,-0.1
kij_pair,K+|I-,k_ij,2025,0.0
kij_pair,K+|Methanol,k_ij,2025,0.32
kij_pair,Li+|Br-,k_ij,2025,0.5
kij_pair,Li+|Cl-,k_ij,2025,0.8
kij_pair,Li+|Ethanol,k_ij,2025,-0.8
kij_pair,Li+|H2O,k_ij,2025,-0.4
kij_pair,Li+|Methanol,k_ij,2025,-0.9
kij_pair,Na+|Br-,k_ij,2025,0.65
kij_pair,Na+|Cl-,k_ij,2025,0.8
kij_pair,Na+|Ethanol,k_ij,2025,0.05
kij_pair,Na+|H2O,k_ij,2025,-0.3
kij_pair,Na+|I-,k_ij,2025,0.45
kij_pair,Na+|Methanol,k_ij,2025,-0.25
