quantity,paper,model_2020,model_2025_num
$x_{water}^{(org)}$,0.4426,0.5264729843847542,0.4074639694079876
$x_{butanol}^{(org)}$,0.557,0.47290351714472434,0.5911142869543584
$x_{NaCl}^{(org)}$,4.15e-05,4.770214532755569e-05,0.0001151836971416768
$x_{KCl}^{(org)}$,0.00042,0.00026378977335893235,0.0005956901704974045
$x_{water}^{(aq)}$,0.9627,0.9641449408390679,0.9404040872744418
$x_{butanol}^{(aq)}$,0.0122,0.024438323377029954,0.048764855853264615
$x_{NaCl}^{(aq)}$,0.0076,0.002042263900002899,0.001934036615978113
$x_{KCl}^{(aq)}$,0.0174,0.0036661187705136628,0.003481491820050171
$\ln(f_{water}/bar)$,-3.521,-3.5133448714903466,-3.5871204600403512
$\ln(f_{butanol}/bar)$,-5.088,-5.245645592727056,-5.152829023854923
"$\ln(f_{\pm,NaCl}/bar)$",-224.891,-199.36268275579744,-137.68003198914482
"$\ln(f_{\pm,KCl}/bar)$",-206.733,-183.41938032488864,-124.38740018118278
$\hat g_{feed}$ (J/mol),-27361.317,-13832.224048045782,-12220.630569283816
$\hat g_{eq}$ (J/mol),-27479.86,-13842.338859883224,-12220.641391521842
$\Delta\hat g=\hat g_{eq}-\hat g_{feed}$ (J/mol),-118.543,-10.114811837442176,-0.010822238025866682
$\beta_{org}$,,0.05431396324064279,5.787702719243414e-05
$\beta_{aq}$,,0.9456860367593573,0.9999421229728076
$TPDF_{min}$,,-0.09602858785696292,-35.89701392403111
Residual norm,,0.054551807129580736,0.21272425442005397
Phase split favored ($\Delta\hat g<0$),,True,True
Water prefers organic ($x_{water}^{org}/x_{water}^{aq}>1$),,False,False
$x_{water}^{org}/x_{water}^{aq}$,,0.5460517004078036,0.4332860468407086
$\eta_{NaCl\to aq}$ (%),,99.86602975473039,99.99965528817842
$\eta_{KCl\to aq}$ (%),,99.5884478213599,99.99900966505017
$\eta_{water\to org}$ (%),,3.0407962535801754,0.002507813087074451
Charge residual org,,-5.146331484983811e-07,4.097624258349655e-09
Charge residual aq,,2.955713082706396e-08,-2.3717226099728705e-13
Mass-balance max error,,2.168404344971009e-19,0.0
"$k_{ij}(water,butanol)$ used",,-0.014343900000000007,-0.014343900000000007
"$l_{ij}(water,butanol)$ used",,-0.0044,-0.0044
"$k_{ij}^{hb}(water,butanol)$ used",,0.026,0.026
