component,H2O,Methanol,Ethanol,Butanol,Benzene,Toluene,Glycine,Alanine,Li+,Na+,K+,Cl-,Br-,I-,H3O+,Cs+,NH4+,Mg2+,Ca2+,Cu2+,Zn2+,F-,NO3-,OH-,ClO4-,HCO3-,H2PO4-,Fo-,Ac-,SO4^2-,S2O3^2-,CO3^2-,HPO4^2-,PO4^3-
H2O,0,0,0,0.000294 T / K-0.102,0.000607 T / K-0.155478,0.000726 T / K-0.195057,-0.0612,0.000291 T / K-0.14796,-0.25,-0.007981 T / K+2.37999,-0.004012 T / K+1.3959,-0.25,-0.25,-0.25,0.25,0.081,0.064,-0.25,0.0041,0.25,-0.25,0,0.098,-0.25,-0.25,0.00,0.25,-0.23,-0.23,0.25,0.25,-0.25,0.25,-0.25
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butanol,0.000294 T / K-0.102,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzene,0.000607 T / K-0.155478,0,0,0,0,0,0,0,0,0.35,0,0.35,0.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0
Toluene,0.000726 T / K-0.195057,0,0,0,0,0,0,0,0,0.35,0,0.35,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycine,-0.0612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alanine,0.000291 T / K-0.14796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li+,-0.25,0,0,0,0,0,0,0,0,0,0,0.669,0.591,0.002,0,0,0,0,0,0,0,0,0.364,-0.566,0.406,0,0,0,-0.998,-0.952,0,0,0,0
Na+,-0.007981 T / K+2.37999,0,0,0,0.35,0.35,0,0,0,0,0,0.317,0.290,0.018,0,0,0,0,0,0,0,0.665,-0.300,0.649,-0.118,-0.514,-0.071,-0.370,0.246,-1.000,0.184,-1.000,-1.000,-1.000
K+,-0.004012 T / K+1.3959,0,0,0,0,0,0,0,0,0,0,0.064,-0.102,-0.312,0,0,0,0,0,0,0,1.000,-0.585,1.000,0,-0.476,0.018,0.340,1.000,1.000,0,1.000,1.000,1.000
Cl-,-0.25,0,0,0.22,0.35,0.35,0,0,0.669,0.317,0.064,0,0,0,0.654,-0.417,-0.566,0.817,1.000,-0.216,-0.705,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-,-0.25,0,0,0,0.15,0.15,0,0,0.591,0.290,-0.102,0,0,0,0.645,-0.670,-0.639,0.752,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-,-0.25,0,0,0,0.07,0,0,0,0.002,0.018,-0.312,0,0,0,0.497,-1.000,-0.787,0.317,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3O+,0.25,0,0,0,0,0,0,0,0,0,0,0.654,0.645,0.497,0,0,0,0,0,0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0
Cs+,0.081,0,0,0,0,0,0,0,0,0,0,-0.417,-0.670,-1.000,0,0,0,0,0,0,0,1.000,-0.855,0.564,0,0,0,0,0.785,-1.000,0,0,0,0
NH4+,0.064,0,0,0.29,0,0,0,0,0,0,0,-0.566,-0.639,-0.787,0,0,0,0,0,0,0,0,-0.419,0,-1.000,0,-1.000,0,0,-1.000,0,0,-0.556,0
Mg2+,-0.25,0,0,0,0,0,0,0,0,0,0,0.817,0.752,0.317,0,0,0,0,0,0,0,0,0.285,0,0.122,0,0,0,0,-1.000,0,0,0,0
Ca2+,0.0041,0,0,0,0,0,0,0,0,0,0,1.000,0.993,0.229,0,0,0,0,0,0,0,0,-0.101,0,0.674,0,0,0,0,-0.908,0,0,0,0
