molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.927167001646,0.927
0.01,0.902324995651,0.902
0.02,0.871627652355,0.871
0.05,0.82147725296,0.82
0.1,0.778795971456,0.776
0.2,0.736267667872,0.731
0.3,0.71262046344,0.705
0.4,0.697915610112,0.688
0.5,0.68817832928,0.676
0.6,0.680397811776,0.666
0.7,0.675620897328,0.659
0.8,0.672851188992,0.654
0.9,0.6710778776,0.65
1,0.66927574176,0.646
1.2,0.668714706752,0.641
1.4,0.671232938976,0.639
1.6,0.674779995648,0.638
1.8,0.678312640096,0.637
2,0.68397499456,0.638
2.5,0.7009191252,0.643
3,0.720259592,0.65
3.5,0.7432305936,0.66
4,0.76770602304,0.671
4.5,0.79373992616,0.683
