molality,miac,miac_m
0.001,0.966034805521,0.966
0.002,0.953068674247,0.953
0.005,0.930167542104,0.93
0.01,0.908327157485,0.908
0.02,0.882635579078,0.882
0.05,0.844518688104,0.843
0.1,0.819943696752,0.817
0.2,0.807779301824,0.802
0.3,0.811679761904,0.803
0.4,0.822688313664,0.811
0.5,0.83884459072,0.824
0.6,0.856116165568,0.838
0.7,0.87656429016,0.855
0.8,0.897134918656,0.872
0.9,0.920925333568,0.892
1,0.94485987072,0.912
1.2,0.998377495104,0.957
1.4,1.05779588349,1.007
1.6,1.12428077645,1.063
1.8,1.19902673901,1.126
2,1.28325716064,1.197
2.5,1.547908488,1.42
3,1.90813387296,1.722
