m_(NaI)// ( mol*kg^(-1) ),m_(LiCl)// ( mol*kg^(-1) ),phi_(LiCl),m_(NaI)// ( mol*kg^(-1) ),m_(LiCl)// ( mol*kg^(-1) ),phi_(LiCl )
0.2109,0.2244,0.785,2.1981,2.3313,1.257
0.2705,0.2891,0.788,2.3449,2.4820,1.297
0.2708,0.2881,0.791,2.4467,2.6005,1.318
0.5742,0.5982,0.863,2.4530,2.6097,1.318
0.5698,0.5989,0.854,2.5106,2.6508,1.343
0.6334,0.6640,0.870,2.5376,2.7076,1.336
0.7864,0.8145,0.916,2.9043,3.0584,1.446
0.9583,1.0006,0.951,2.9553,3.1091,1.460
1.2177,1.2775,1.012,3.0027,3.1504,1.476
1.2885,1.3613,1.023,3.1841,3.3149,1.532
1.4462,1.5233,1.067,3.2001,3.3258,1.539
1.5883,1.6780,1.101,3.2928,3.4138,1.565
1.6869,1.7748,1.132,3.3780,3.4872,1.592
1.8474,1.9469,1.173,3.6040,3.6838,1.662
1.8430,1.9515,1.166,3.8388,3.8793,1.736
1.8999,2.0136,1.180,4.1752,4.1803,1.828
