quantity,paper,ascani2022_params_bulow2020_opts,ascani2022_params_figiel2025_opts
$x_{water}^{(org)}$,0.4426,0.5460178948425554,0.5380423442151197
$x_{butanol}^{(org)}$,0.557,0.4483211573867456,0.43742232533811365
$x_{NaCl}^{(org)}$,4.15e-05,0.0005974637788057055,0.0030144418615775446
$x_{KCl}^{(org)}$,0.00042,0.002232992495200948,0.009253231954123118
$x_{water}^{(aq)}$,0.9627,0.9620678351097587,0.9645536428298401
$x_{butanol}^{(aq)}$,0.0122,0.02681726036940193,0.02543951513355765
$x_{NaCl}^{(aq)}$,0.0076,0.002007454172446603,0.001868991822067903
$x_{KCl}^{(aq)}$,0.0174,0.0035499990568224945,0.0031344286798282717
$\ln(f_{water}/bar)$,-3.521,-3.5093106247495536,-3.506802553497824
$\ln(f_{butanol}/bar)$,-5.088,-5.263521029466697,-5.305309575414598
"$\ln(f_{\pm,NaCl}/bar)$",-224.891,-226.53885773431148,-143.46819586539337
"$\ln(f_{\pm,KCl}/bar)$",-206.733,-208.52435679797824,-129.62810280928466
$\hat g_{feed}$ (J/mol),-27361.317,-14528.695864869136,-12369.19054103593
$\hat g_{eq}$ (J/mol),-27479.86,-14536.449911052443,-12378.03936253769
$\Delta\hat g$ (J/mol),-118.543,-7.754046183306855,-8.84882150175872
$\beta_{org}$,,0.05214420367679294,0.05669345835298715
$\beta_{aq}$,,0.947855796323207,0.9433065416470129
$TPDF_{min}$,,-0.07613605641487337,-0.08003105653784898
Residual norm,,0.047711311340907,0.04734077983501688
Charge residual org,,-3.5222685688691274e-08,1.718463471002407e-08
Charge residual aq,,1.9376986491043136e-09,-1.0328099408693503e-09
Mass balance max error,,0.0,0.0
Neutral fugacity gap max,,0.047689640624623664,0.04732574668171807
Mean-ionic gap max,,0.0002920272598885276,8.661391700570675e-05
E-matrix rank,,2.0,2.0
Independent ionic-pair count,,2.0,2.0
$\eta_{water\to org}$ (%),,3.0276986880941688,3.243763206170312
$\eta_{butanol\to org}$ (%),,47.90809116415448,50.82150105547081
$\eta_{Na^+\to aq}$ (%),,98.38907037557892,91.16312300979199
$\eta_{K^+\to aq}$ (%),,96.65536477575917,84.93108943301564
$\eta_{Cl^-\to aq}$ (%),,97.27448303150132,87.15673161657172
