entry_type,name,parameter,set_key,value
component,Br-,e,2020,190.0
component,Br-,s,2020,3.0707
component,Cl-,e,2020,170.0
component,Cl-,s,2020,2.756
component,H2O,e,salt_2020,353.95
component,H2O,e_assoc,salt_2020,2425.7
component,H2O,m,salt_2020,1.2047
component,H2O,s,salt_2020,"{""type"": ""water_sigma_2008""}"
component,H2O,vol_a,salt_2020,0.04509
component,I-,e,2020,200.0
component,I-,s,2020,3.6672
component,K+,e,2020,200.0
component,K+,s,2020,3.3417
component,Li+,e,2020,360.0
component,Li+,s,2020,2.8449
component,Na+,e,2020,230.0
component,Na+,s,2020,2.8232
kij_pair,Br-|H2O,k_ij,2020,-0.25
kij_pair,Cl-|H2O,k_ij,2020,-0.25
kij_pair,I-|H2O,k_ij,2020,-0.25
kij_pair,K+|Br-,k_ij,2020,-0.102
kij_pair,K+|Cl-,k_ij,2020,0.064
kij_pair,K+|H2O,k_ij,2020,0.1997
kij_pair,K+|I-,k_ij,2020,-0.312
kij_pair,Li+|Br-,k_ij,2020,0.591
kij_pair,Li+|Cl-,k_ij,2020,0.669
kij_pair,Li+|H2O,k_ij,2020,-0.25
kij_pair,Li+|I-,k_ij,2020,0.002
kij_pair,Na+|Br-,k_ij,2020,0.29
kij_pair,Na+|Cl-,k_ij,2020,0.317
kij_pair,Na+|H2O,k_ij,2020,0.0045
kij_pair,Na+|I-,k_ij,2020,0.018
